id,nameeng,nameamh,position,placeofassignment,detail,,
414,Moges Abate Worku,አቶ ሞገስ አባተ ወርቁ,ኮስቲክ ሶዳ አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
415,Moges Ayele Ambaw,አቶ ሞገስ አየለ አምባው,ሙገር ስሚንቶ ኢንተርፕራይዝ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
416,Muliye Fetie Ebisa,አቶ ሙልዬ ፈጤ ኤቢሳ,ትመማማድ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
417,Mulugeta Alemayehu Awoke,አቶ ሙሉጌታ አለማየሁ አወቀ,የኢትዮጵያ  ንግድ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
418,Mulugeta Kalayu G/Egziabher,አቶ ሙሉጌታ ካልአዩ ገ/እግዚዘብሄር,አዋሽ ኮንስትራክሽን,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
419,Mulugeta Mengesha Tareqegne,አቶ ሙሉጌታ መንገሻታረቀኝ,ኮንስትራክሽን ዲዛይን አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
420,Muluworq G/Hiwot Chewa,ወ/ሮ ሙሉወርቅ ገ/ህይወት ጨዋ,ብርሀንና ሰላም ማተሚያ ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
421,Mustofa Jemal Shibeshi,አቶ ሙስጦፋ ጀማል ሽበሽ,ከምቦልቻ ጨርቃጨርቅ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
422,Nebiyat Yesuwork, ነቢያት የሱወርቅ,የብሄራዊ አስጎብኚና የጉዞወኪል,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
423,Negash Gemeda Gebru,አቶ ነጋሽ ገመዳ ገብሩ,አዋሳ ዱቄት አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
424,Nigussie Yohannes Abere,አቶ ንጉሴ  ዮሀንስ  አበረ,መኖሪያ ቤቶች ኮንስትራክሽን ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
425,Nemie Geleta,አቶ ነሜ ገለታ,የፊንጫ ስ ኳር ፋብሪካ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
426,Nurzefa Shafo Busera,አቶ ኑርዘፋ ሻፎ ቡሴራ,ፊንጫ  ስኳር ፋብሪካ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
427,Rezene Hailu W/Gebgriel,አቶ ረዘነ ኃይሉ ወ/ገብርኤል,አዋሽ ወይን ጠጅ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
428,Samuel Halala Kejela,አቶ ሳሙኤል ሀላላ ቀጄላ,ማእድን ሀብት ልማት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
429,Seifu Bogale G/Egziabher,አቶ ሰይፉ ቦጋለ ገ/እግዚአብሄር,የኢትዮጵያ ንግድ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
430,Serata Gulma Gobena,አቶ ሴራታ ጉልማ ጎበና,በደሌ ቢራ አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
431,Simeneh Alitaye,አቶ ስሜነህ  አልታዬ,አዳሜቱሉ የፀረ-ተባይ ማዘጋጃ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
432,Shiferaw Alemu Feleqe,አቶ ሽፈራው ዓለሙ ፈለቀ,ኤርፖርቶች ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
433,Shiferaw Feyissa Hordufa,አቶ ሽፈራው ፈይሳ ሆርዶፋ,የኢትዮጵያ መድን ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
434,Shiferaw Telila Senbetu,አቶ ሽፈራው ተሊላ ሰንበቱ,የኢትዮጵያ ኤሌክትሪክ  ኃይል ኮርፖሬሽን,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
435,Sissay Solomon Dinku,አቶ ሲሳይ ሰሎሞን ድንቁ,አርባ ምንጭ ጨርቃጨርቅ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
436,Selomon Alemayehu Lemma,አቶ ሰሎሞን አለማየሁ ለማ,የኢትዮጵያ መድን ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
437,Solomon Alula Awulachew,አቶ ሰሎሞን አሉላ አውላቸው,የኢትዮጵያ ንግድ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
438,Solomon Kebede Tessema,አቶ ሰሎሞን ከበደ ተሰማ,ሜታ አቦ  ቢራ ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
439,Tadela Assefa G/Mariyam,አቶ ታደለ አሰፋ ገ/ማርያም ,የኢትዮጵያ ፖስታ አገልግሎት ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
440,Tadesse H/Mariyam Ounka,አቶ ታደሰ ኃ/ማርያም ኡንካ,ኮንስትራክሽን ዲዛይን አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
441,Tadesse Hatiya Ouge,አቶ ታደሰ ሀጢያ ኦጌ,ኢትዮጵያ ልማት ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
442,Dr. Tafesse Gebru Meskelie,ዶ/ር ታፈሰ ገብሩ መስቀሌ,የኢትዮጵያ ምርጥ ዘር ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
443,Takele H/Meskel Haiyle,አቶ ታከለ ኃ/መስቀል ሀይሌ,የኢትዮጵያ ኤሌክትሪክ  ኃይል ኮርፖሬሽን,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
444,Taye Agonafir G/Wold,አቶ ታየ አጎናፍር ገ/ወልድ,አርሲ እርሻ ልማት ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
445,Dr. Teferi Belay,ዶ/ር ተፈሪ በላይ,የእርሻ መሣሪያዎችና የቴክኒክ አገልግሎት አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
446,Teka Abadi G/Wahid,አቶ ተካ  አባዲ ገ/ዋህድ,አርትስቲክ ማተሚያ ቤት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
447,T/Haymanot Nigatu Beyene,አቶ ተ/ሀይማኖት  ንጋቱ  በየነ,የተፈጥሮ ሙጫ ምርትና ገበያ ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
448,Tesfaye Kidane Alemie,አቶ ተስፋየ ኪዳኔ አለሜ,የውሃ ስራዎች ዲዛይንና ቁጥጥር ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
449,Teshome Hh/Mariyam Dagne,አቶ ተሸመ ኃ/ማርያም ዳኜ,የኢትዮጵያ እብነበረድ ማ/ም/ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
450,Tewodros Dawit Berhe,አቶ ቴዎድሮስ ዳዊት በርሄ,ኤርፖርቶች ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
451,Tezera Tadesse T/Haiymanot,አቶ ተዘራ ታደሰ ተ/ሀይማኖት,ግዮን ሆቴሎች ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
452,Tilahun Sarka,አቶ ጥላሁን ሣርካ,የተገጣጣሚ ህንፃ አካላት ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
453,Teoum Tekea,አቶ ጥዑም ተክኤ,የምድር ባቡር ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
454,Tigabu Sharew,አቶ ጥጋቡ  ሻረው ,ትግራይ ዱቄት አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
455,Tiruneh Mitafa Gouta,አቶ ጥሩነህ ሚጣፋ ጉታ,ኢትዮጵያ ልማት ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
456,Tseganesh Meleshe Bezabih,ወ/ሮ ፀጋነሽ መለሸ በዛብህ,ኮንስትራክሽንና ቢዝነስ ባንክ ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
457,W/Gebriel Tewolde,አቶ ወልደገብርኤል  ተወልደ,የኢትዮጵያ ቴሌኮሙኒኬሽን ኮርፖሬሽን,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
458,Wondosen Akalu Worku,አቶ ወንዶሰን አካሉ ወርቁ,ዋልያ አገር አቋራጭ ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
459,Wondimagene Negera,አቶ ወንድማገኝ ነገራ ,የኢትዮጵያ ንግድ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
460,Workneh Birhanu,አቶ ወርቅነህ ብርሀኑ,የተገጣጣሚ ህንፃ አካላት ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
461,Worknrh Delelegne,አቶ ወርቅነህ ደለለኝ,የአቃቂ መለዋወጫ እቃዎች የእጅ መሣሪያዎች አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
462,Worku Chekol Zewude,አቶ ወርቁ ቸኮል ዘውዴ,ፊንጫ  ስኳር ፋብሪካ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
463,Worku Getahun Agegnehu,አቶ ወርቁ ጌታሁን አገኘሁ,ንግድ ማተሚያ ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
464,Yared Molla W/Silassie,አቶ ያሬድ ሞላ  ወ/ስላሴ,የኢትዮጵያ መድን ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
465,Yehuwala Gessese Gelaye,አቶ የኋላ ገሠሠ ገላየ,የኢትዮጵያ  ንግድ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
466,Yeshaw Salih Abera,አቶ የሻው ሳልህ አበራ,አዋሳ ጨርቃጨርቅ አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
467,Yewondwosen Etefa Kumsa,አቶ የወንድወሰን ኢተፋ ኩምሳ,የኢትዮጵያ ብሄራዊ ባንክ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
468,Yigzaw Mekonnen,አቶ ይግዛው መኮንን,የኢትዮጵያ ነዳጅ ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
469,Yimam Mehammed Yimer,አቶ ይማም መሀመድ ይመር,ጅንአድ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
470,Yehwanes Mekonnen H/Wold,አቶ የሀንስ መኮንን ሀ/ወልድ,የኢትዮጵያ ኮርኪና ጣሳ አ/ማ,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
471,Yohannes Kebede Desta,አቶ ዮሀንስ ከበደ ደስታ,ራስ ሆቴሎች ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
472,Zerihun Desta Zeleke,አቶ ዘሪሁን ደስታ ዘለቀ,የኢትዮጵያ ማእድን ልማት ድርጅት,የመንግስት የልማት ድርጅት  ተሿሚ,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
473,Dr. Abiy Ahmed Ali,ክቡር ዶ/ር ዓብይ አህመድ ,የኢ.ፌ.ዲ.ሪ ጠ/ሚኒስትር ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
474,Demeke Mekonnen,ክቡር አቶ ደመቀ መኮንን  ,የኢ.ፌ.ዲ.ሪ ም/ጠ/ሚኒስትር ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
475,Dr. Workneh Gebeyehu,ክቡር ዶ/ር ወርቅነህ ገበየሁ,ሚኒስትር ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
476,Motuma Meqasa,ክቡር አቶ ሞቱማ መቃሳ,ሚኒስትር ,የሀገር መከላከያ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
477,W/Ro Ouba Mehammed,ክብርት ወ/ሮ ኡባ መሀመድ,ሚኒስትር ,የመገናኛና ኢንፎ/ቴክ/ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
478,Jantirar Abay,ክቡር አቶ ጃንጥራር ዓባይ ,ሚኒስትር ,የከተማ ልማተና ቤቶች ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
479,Kebede Chanie,ክቡር አቶ ከበደ ጫኔ,ሚኒስትር ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
480,Ambachew Mekonnen,ክቡር ዶ/ር አምባቸው መኮንን,ሚኒስትር ,የኢንዱስትሪ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
481,Abrham Tekeste,ክቡር ዶ/ር አብርሐም ተከስተ ,ሚኒስትር ,የገንዘብና ኢኮሃሚ ትብብር ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
482,Tagesse Chafo,ክቡር አቶ ታገሰ ጫፎ,ሚኒስትር ,የፐብሊክ ሰርቪስና የሰው ሀበት ልማት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
483,Birhanu Tsegaye,ክቡር አቶ ብርሃኑ ፀጋዬ,ጠቅላይ ዐ/ሕግ,የፌዴራል ጠቅላይ ዐቃቢ ሕግ  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
484,Gemedo Dale,ክቡር ዶ/ር ገመዶ ዳሌ,ሚኒስትር ,የአካባቢ፣ደንና የአየር ንብረት ለውጥ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
485,Shiferaw Shigutie,ክቡር አቶ ሽፈራው ሽጉጤ,ሚኒስትር ,የግብርናና የእንስሳት ሀብት ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
486,Melaku Alebel,ክቡር አቶ መላኩ አለበል ,ሚኒስትር ,የንግድ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
487,Siraj Feggesa,ክቡር አቶ ሲራጅ ፈጌሳ,ሚኒስትር ,የትራንስፖርት ሚኒሰቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
488,"Dr.,Enginner Sileshi Bekele",ክቡር ዶ/ር ኢንጂነር ስለሺ በቀለ,ሚኒስትር ,የውሃ፣መስኖና ኤሌክትሪክ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
489,Enginner Ayisha Mehammed,ክብርት ኢንጂነር አይሻ መሐመድ,ሚኒስትር ,የኮንስትራክሽን ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
490,Dr. Hirut W/Mariyam,ክብርት ዶ/ር ሂሩት ወልደ ማሪያም,ሚኒስትር ,የሠራተኛና ማኀበራዊ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
491,Meless Alemu,ክቡር አቶ መለሰ ዓለሙ ,ሚኒስትር ,የማዕድን፣ የነደጅና የተፈጥሮ ጋዝ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
492,Dr. Tilaye Getie,ክቡር ዶ/ር ጥላዬ ጌቴ,ሚኒስትር ,የትምህርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
493,Dr. Amir Aman,ክቡር ዶ/ር አሚር አማን ,ሚኒስትር ,የጤና ጥበቃ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
494,Dr. Enginner Getahun Mekuriya,ክቡር ዶ/ር ኢንጂነር ጌታሁን መኩሪያ,ሚኒስትር ,የሳይንስና ቴክኖሎጂ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
495,Foziya Amin,ክብርት ወ/ሮ ፎዚያ አሚን ,ሚኒስትር ,የባህልና ቱሪዝም ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
496,Yalem Tsegaye,ክብርት ወ/ሮ ያለም ፀጋዬ,ሚኒስትር ,የሴቶችና ሕፃናት ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
497,Eristu Yirda,ክቡር አቶ ዕርስቱ ይርዳ ,ሚኒስትር ,የወጣቶችና ስፖርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
498,Ambassador Teshome Toga,ክቡር አምባሳደር ተሾመ ቶጋ,ሚኒስትር ,የመንግስት የልማት ድርጅቶች ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
499,Dr. Yinager Dessie,ክቡር ዶ/ር ይናገር ደሴ,ኮሚሽነር በሚኒስትር ማዕረግ ,ብሔራዊ ኘላን ኮሚሽን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
500,Ahmed Shide,ክቡር አቶ አህመድ ሺዴ,ኃላፊ ሚኒስትር ,የመንግስት ኮሙኒኬሽን ጉዳዮች ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
501,Oumer Hussien,ክቡር አቶ ዑመር ሁሴን ,በሚኒስትር ማዕረግ ዋና ዳይሬክተር,የገቢዎችና ጉምሩክ ባለሥልጣን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
502,Asmelash W/Silassie,ክቡር አቶ አስመላሽ ወልደሥላሴ,በሕዝብ ተ/ም/ቤት የመንግስት ዋና ተጠሪ ሚኒስትር ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
503,Fetlework G/Egziabher,ክቡርት ወ/ሮ ፈቅለወቅ ገ/እግዚአብሔር ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥ/ግ/ማስተባበሪያ ማዕከል ዋና አስተባባሪ,የጠቅላይ ሚኒስትር ጽ/ቤት /ኢህአዴግ ቢሮ/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
504,Fekadu Tessema,ክቡር አቶ ፍቃዱ ተሰማ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥ/ግ/ማስተባበሪያ ማዕከል አስተባባሪ,የጠቅላይ ሚኒስትር ጽ/ቤት /ኢህአዴግ ቢሮ/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
505,Tefera Deribew,ክቡር አቶ ተፈራ ደርበው ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥ/ግ/ማስተባበሪያ ማዕከል የገጠር ዘርፍ አስተባባሪ,የጠቅላይ ሚኒስትር ጽ/ቤት /ኢህአዴግ ቢሮ/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
506,Demitu Hambisa,ክብርት ወ/ሮ ደሚቱ ሐምቢሳ,የጠቅላይ ሚኒስትር ጽ/ቤት ኃላፊና የካቢኔ ጉዳዮች ሚኒስትር ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
507,Dr. Arkebe Ekubay,ክቡር ዶ/ር አርከበ ዕቁባይ ,በሚኒስትር ማዕረግ የኢኮኖሚ ዕቅድ ውጤታማነት ክትትልና ድጋፍ ዘርፍ ኃላፊ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
508,Abmbassador Girma Biru,ክቡር አምባሳደር ግርማ ብሩ,በሚኒስትር ማዕረግ የጠቅላይ ሚኒስትሩ የሰሜን አሜሪካ ጉዳዮች ልድ መልዕክተኛ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
509,Moges Balcha,ክቡር አቶ ሞገስ ባልቻ ,በሚንስትር ማዕረግ የሤሞክራሲ  ሥርዓት ግንባታ ማስተባበሪያ ማዕከል ዘርፍ አስተባባሪ ,የጠቅላይ ሚኒስትር ጽ/ቤት /ኢህአዴግ ቢሮ/,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
510,Ambassador Siyum Mesfin,ክቡር አምባሳደር ስዩም መስፍን ,በሚኒስትር ማዕረግ የጠቅላይ ሚኒስትሩ የመካከለኛው ምሥራቅ ጉዳዮች ልዩ መልዕክተኛ,ጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
511,Abadula Gemmeda,ክቡር አቶ አባዱላ ገመዳ ,የጠቅላይ ሚኒስትሩ የብሔራዊ ደህንነት ጉዳዮች ሚኒስትር ,ጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
512,Ambassador Degife Bula,ክቡር አምባሳደር ደግፌ ቡላ,በሚኒስትር ማዕረግ የፌዴራል የፍትሕና የሕግ ምርምር እና ሥልጠና ኢንስቲትዩት ዋና ዳይሬክተር,የፌዴራል የፍትሕና የሕግ ምርምር እና ስልጠና ኢንስቲትዩት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
513,Ahmed Abitew,ክቡር አቶ አህመድ አብተው ,በሚኒስትር ማዕረግ ዋና ዳይሬክተር,የፖሊሲ ጥናትና ምርምር ማዕከል ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
